,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
0,tt0438427,Side Effects,Side Effects,2005,2005-09-09,"Comedy, Drama, Romance",90,USA,English,Kathleen Slattery-Moschkau,Kathleen Slattery-Moschkau,Mo Productions,"Sandy Adell, David M. Ames, John Apple, Ron Baumgartner, Collin Spencer, Bill Bolz, Stacy Brickson, Nathan Caracter, Tom Christianson, Nathan Connor, Janet Cresson, Tom Curtis, Dorian DeMichele, David Durbin, Lee Ernst",A young woman fumbles with love and ethics as she navigates a career with one of corporate America's darlings...the pharmaceutical industry.,4.9,1056,$ 30000000,$ 2216,$ 2216,46.0,32.0,7.0
1,tt0036961,Irish Eyes Are Smiling,Irish Eyes Are Smiling,1944,1945-08-30,"Drama, Music, Romance",90,USA,English,Gregory Ratoff,"Earl Baldwin, John Tucker Battle",Twentieth Century Fox,"Monty Woolley, June Haver, Dick Haymes, Anthony Quinn, Beverly Whitney, Maxie Rosenbloom, Veda Ann Borg, Clarence Kolb, Leonard Warren, Blanche Thebom, Leo Mostovoy, Ray Walker","A tunefull account of the life of Ernest R. Ball, composer of many popular Irish songs, including the title's.",6.0,134,,,,,9.0,1.0
2,tt6268734,Holly Star,Holly Star,2018,2018-12-04,Comedy,91,USA,English,Michael A. Nickles,Michael A. Nickles,Marlboro Road Gang Productions,"Katlyn Carlson, Michael A. Nickles, Erik Van Wyck, John Farrell, Iris Achilleas, Teya Patt, Pamela Chabora, Richard Sewell, Gary Galone, Brian Muller, Bruce-Robert Serafin, Lonnie Farmer, Jerry Lyden, Barbara Helen Baker, William McDonough III","A broke puppeteer returns home for the holidays and gets caught up in a treasure hunt with her paintball-obsessed best friend, her tango-dancing grandmother, and a childhood sweetheart.",5.1,328,,,,,13.0,7.0
3,tt0095496,L'ombra del peccato,Last Rites,1988,1988-11-18,"Action, Crime, Drama",103,"USA, Mexico",English,Donald P. Bellisario,Donald P. Bellisario,Metro-Goldwyn-Mayer (MGM),"Tom Berenger, Daphne Zuniga, Chick Vennera, Anne Twomey, Dane Clark, Paul Dooley, Vassili Lambrinos, Adrian Paul, Deborah Pratt, Tony DiBenedetto, Christine Poor, Al Rodrigo, Jack Hallett, Louis Gigante, Ibi Kaufman","Angela, the beautiful Mexican mistress of a NY mobster, asks virginal Father Michael for protection after Zena, the mobster's wife, kills her cheating husband. Michael becomes torn between his vows, Angela and his sister - Zena.",5.1,1007,,$ 426965,,,17.0,4.0
4,tt3794392,After the Reality,After the Reality,2016,2017-04-25,"Drama, Romance",85,USA,English,David Anderson,David Anderson,USofAnderson I,"Matthew Morrison, Sarah Chalke, Jon Dore, Laura Bell Bundy, Juan Pablo Di Pace, Isaiah Mustafa, Tony Cavalero, Aimee Garcia, Jane Lynch, John Heard, Michael Fairman, Katy Jacoby, Max Gecowets, Nathaniel Fuller, Floyd Van Buskirk",The life of a contestant on a 'Bachelorette' style reality show is thrown into turmoil when the sudden death of his father forces him to quit the series prematurely and reconnect with his ...,4.4,352,,,,,9.0,3.0
5,tt3104078,WNUF Halloween Special,WNUF Halloween Special,2013,2013-10-18,"Comedy, Horror",83,USA,English,"Chris LaMartina, James Branscome","Chris LaMartina, Carley Cooper",Midnight Crew Studios,"Paul Fahrenkopf, Aaron Henkin, Nicolette le Faye, Leanna Chamish, Richard Cutting, Brian St. August, Helenmary Ball, Robert Long II, Sabrina Taylor-Smith, Thomas Lee Johnson, Kendra North, Frederick Cowie, Bob Creager, Ron LaMartina, George Stover","Originally broadcast live on October 31, 1987, the 'WNUF Halloween Special' is a stunning expose of terrifying supernatural activity that unfolded at the infamous Webber House, the site of ...",6.6,780,$ 1500,,,,18.0,20.0
6,tt0108539,Weekend con il morto 2,Weekend at Bernie's II,1993,1993-07-09,"Adventure, Comedy, Fantasy",97,USA,English,Robert Klane,"Robert Klane, Robert Klane",Artimm,"Andrew McCarthy, Jonathan Silverman, Terry Kiser, Troy Byer, Barry Bostwick, Tom Wright, Steve James, Novella Nelson, Phil Coccioletti, Gary Dourdan, James Lally, Michael Rogers, Stack Pierce, Constance Shulman, Jennie Moreau",Larry and Richard use a voodoo-revived corpse to track down hidden money to clear their names.,4.9,12436,$ 7000000,$ 12741891,$ 12741891,,54.0,14.0
7,tt0120906,Zero Effect,Zero Effect,1998,1998-01-30,"Comedy, Crime, Drama",116,USA,English,Jake Kasdan,Jake Kasdan,Castle Rock Entertainment,"Bill Pullman, Ben Stiller, Ryan O'Neal, Kim Dickens, Angela Featherstone, Hugh Ross, Sarah DeVincentis, Matt O'Toole, Michele Mariana, Robert Katims, Tyrone Henry, Aleta Barthell, Tapp Watkins, Wendy Westerwelle, Lauren Hasson",The world's greatest detective Daryl Zero aided by his associate Steve Arlo investigates a complex and mysterious case of blackmail and missing keys for shady tycoon Gregory Stark who is less than forthcoming about what is really happening!,6.9,13674,$ 5000000,$ 2087471,$ 2087471,,151.0,86.0
8,tt0080472,Bronco Billy,Bronco Billy,1980,1980-06-11,"Action, Adventure, Comedy",116,USA,English,Clint Eastwood,Dennis Hackin,Warner Bros.,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, Scatman Crothers, Bill McKinney, Sam Bottoms, Dan Vadis, Sierra Pecheur, Walter Barnes, Woodrow Parfrey, Beverlee McKinsey, Doug McGrath, Hank Worden, William Prince, Pam Abbas","An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",6.1,10653,$ 6500000,$ 24265659,$ 24265659,66.0,56.0,33.0
9,tt2017711,How We Got Away with It,How We Got Away with It,2014,2014-05-13,"Drama, Mystery, Thriller",90,USA,English,Jon Lindstrom,"Jeff Barry, McCaleb Burnett",Jailbreak Films,"McCaleb Burnett, Jeff Barry, Cassandra Freeman, Mikal Evans, Jacob Knoll, Brianne Moncrief, Luke Robertson, Richard Bekins, Jon Lindstrom, Samantha Soule, Antoinette Dipietropolo","A young man and his friends react violently to a sudden, unexpected tragedy during their annual all-weekend summer party.",5.0,165,,,,,9.0,8.0
